 -lrb- cnn -rrb- two cnn heroes are among the earthquake survivors in kathmandu , nepal .   and they are struggling in the aftermath .   anuradha koirala , who rescues victims of sex trafficking , has a rehabilitation center in kathmandu that is home to 425 young women and girls . 
 the experiment , which involved treating the coins and notes in a substance that allows bacteria to grow quickly , highlights how dirty handling money can be .   thousands of bacteria colonies were discovered on notes and coins chosen at random from scientists ' pockets .   the money was collected from students at the university of surrey . 
 with the confirmation of danilo 's summer switch to real madrid , porto have now received a whopping # 440million from player sales in the last 11 years .   porto and brazil right back danilo will join real madrid in the summer in a deal worth # 23million .   jose mourinho celebrates winning the 2004 champions league with the portuguese club . 
 a dominatrix who claims she shared a ` hot , deep kiss ' with prince harry during his infamous party night in vegas three years ago says she felt ` overdressed ' when she saw him playing strip billiards .   carrie reichert , 43 , who has previously said she kissed the prince and has a pair of his underpants she hopes to use in a strip-tease show , has now written a book about the night .   in an excerpt from the upcoming in the eye of the royal story , she says she could n't help but notice how ` adorably cute his naked a ** was ' , the sun reported . 
 eva chapin , 34 , from west linn , oregon , was booked into jail after she left a string of offensive post-it notes on the door of the family home .   eva chapin , 34 , from west linn , oregon , was booked into jail after she left a string of offensive post-it notes on the door of the family home .   the qualified nurse referred to the residents , who are believed to have roots in ghana , as ` n ***** ' but wrote : ' i am not racist ' . 
 justin rose will try to take a leaf out of rory mcilroy 's book after kickstarting his season with his share of second place in the masters .   rose arrived at augusta national having missed the cut in three of his previous five tournaments on the pga tour , but left with renewed enthusiasm and a 14-under-par total which has only been bettered six times in masters history .   justin rose was unable to take victory at the masters , despite carding 14-under-par for the tournament . 
 a pole with convictions for violence was on his way to britain from calais when he snatched a schoolgirl in front of her mother before raping and murdering her , it emerged today .   zbigniew huminski , 38 , has confessed to strangling his nine-year-old victim , identified by her first name of chloe , yesterday afternoon in france ` while drunk ' .   she was stripped naked and sexually assaulted and after being forced into huminski 's car and then driven to an isolated wood once used as a camp for illegal migrants bound for the uk . 
 mary ann diano was left homeless when the storms hit staten island , new york , in october 2012 - but now says because of hurricane sandy she has met the love of her life and they are buying their dream home together .   the 62-year-old 's home has lived in a trailer park in connecticut every since the disaster where she met her partner dennis krauss , whose home in brooklyn , new york , was also destroyed .   both of them were left homeless when hurricane sandy wrecked havoc on the east coast of the us in october 2012 . 
 chelsea midfielder cesc fabregas took to instagram to show off the shiners he picked up from stoke city midfielder charlie adam on saturday .   chelsea midfielder cesc fabregas took to instagram to show off the shiner he picked up from charlie adam .   fabregas was caught in the face by stoke city midfielder adam 's flailing arm during their game . 
 the life of a 16-year-old girl stabbed to death at a connecticut school a year ago on the day of prom was celebrated saturday by hundreds of people with a road race , fried food and live music .   wearing shirts in maren sanchez 's favorite color of purple , the crowd filled a baseball field behind milford 's jonathan law high school , where she was attacked and killed in a hallway on april 25 , 2014 .   a classmate , christopher plaskon , has been charged with murder . 
 it is the final defeat in a battle that involved two generations of mrs alexander 's family .   it kicked off 35 years ago when mrs alexander 's aunt found her vegetable patch at the property would not grow anything worth eating because of the leylandii .   the battle between the neighbouring properties started in 1980 when the owner planted a vegetable patch which withered and died in the shade of her neighbour 's massive hedge . 
 catherine nevin was allowed out on day release on wednesday afternoon despite being jailed for life in april 2000 for arranging to having her publican husband tom shot dead .   the 62-year-old was permitted to attend an addiction studies course and was pictured leaving mountjoy prison and making her way from dublin 's dochas centre to the oblates in the city 's inchicore suburb .   the 62-year-old was given life in prison for arranging to have her husband shot dead . 
 the chelsea forward set up the ` didier drogba foundation in africa , ' as he hopes to inspire the next generation of footballers in africa to fall in love with the game .   didier drogba with the barclays spirit of the game award following all the charity work he 's done in africa .   the ivorian scored the equaliser for chelsea against leicester on wednesday , his seventh of the season . 
 figures from the catholic church show the number of women taking holy vows has trebled from 15 in 2009 to 45 last year .   from a low of only seven in 2004 , the figure has been rising for the past decade .   theodora hawksley , 29 , was until recently a post-doctoral researcher in theology at the university of edinburgh . 
 bobby zamora -lrb- left -rrb- scored qpr 's third goal with an astounding lob from a narrow angle against west brom at the hawthorns .   charlie austin -lrb- right -rrb- headed qpr 's second goal of the game for his team on the 35th minute .   the qpr players went 2-0 up thanks to austin and ended up going in 3-0 ahead at half-time . 
 the red wings ' drew miller says he 's eager to hit the ice again just a day after receiving a cut that could have cost him his eyesight .   ' i feel very blessed the skate did n't hit my eye , ' miller said at practice on wednesday .   the incident occurred shortly after a faceoff during the first period of tuesday 's game between the red wings and the senators . 
 arsenal defender per mertesacker has tipped compatriot jurgen klopp to make his mark in the barclays premier league if he opts to continue his career in england .   jurgen klopp has revealed he will be vacating his role as borussia dortmund boss at the end of the season .   arsenal vice-captain per mertesacker says klopp would be a top manager in the premier league . 
 to address these issues , the tech giant is recruiting for battery and power software experts .   at least nine job listings have been spotted on the firm 's official recruitment site as the company looks to boost the battery across its range of mobiles and laptops .   fan site appleinsider has spotted nine job listings on apple 's official recruitment site in the past month that relate to batteries . 
 andy murray celebrates winning a point in the second set against novak djokovic in the mens final .   novak djokovic plays a backhand against murray in the mens final during the miami open .   murray plays a forehand against djokovic in the final during the miami open at crandon park tennis center . 
 paula dunican spent # 25 on the baby blue coat at her local branch in canterbury , kent .   but when the 49-year-old took it home to try on , she noticed a dark stain ` seeping through ' from the its lining .   paula dunican was horrified when she found the body of a crushed lizard on the lining of a # 25 coat from asda . 
 ronnie carroll died just days after successfully getting on the general election ballot paper for hampstead and kilburn , where his name will remain for the election .   due to stand as an independent , mr carroll was 80 and had contested elections before , winning 29 votes in the haltemprice and howden by-election - despite campaigning for a record score of 0 .   nominations closed on april 9 . 
